"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"5","For Sale - House","39000000","5","2.5","1","1","Booking Open For House at Bhaisipati","Bhaisipati, Lalitpur-25, Lalitpur","27.652578353881836","85.30496215820312"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"Bunglow",,"5","For Sale - House","85000000","5","3","1","2","Bungalow For Sale |📍Chapali-Ghumti,Budhanilkantha"," Chapali (Budhanilkantha), Kathmandu ","27.78030014038086","85.37300109863281"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"5","For Rent - House","350000","5","2.5","1","2","Bungalow For Rent at Bansbari, Kathmandu","Bansbari, Kathmandu-3, Kathmandu","27.742759704589844","85.34333801269531"
"HouseIndividual",,"4","For Rent - House","350000","4","2.5","1","2","Bungalow For Rent at Bansbari, Kathmandu","Basbari, Kathmandu-3, Kathmandu","27.7427978515625","85.34343719482422"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"Commercial Building",,,"For Rent - Office Space","80000",,"0",,,"Office space for rent in Kantipath","Nabil Bank ATM, Chitra Marg, Narayan Chaur, Kathmandu Metropolitan City, Kathmandu","27.70990753173828","85.31488800048828"
"House - Semi Commercial",,,"For Rent - Office Space","1100000",,"0",,,"Consultancy office for sale in Bagbazar","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","34000000","8","3","3","3","House For Sale Tokha Bazar,KTM(no dalal)","F1 soft Tower, Lalitpur-3, Lalitpur","27.679346084594727","85.31614685058594"
"HouseIndividual",,"3","For Sale - House","27000000","11 room total","3","3","4","House for sale at Mhepi ,Nayabazar ,KTM(no dalal)","Kisan Tol, Maligaun Marg, Kathmandu-5, Kathmandu,  Bagmati Pradesh","27.71419906616211","85.33360290527344"
"HouseIndividual",,"1","For Rent - House","24000","1","3","0","0","Fully furnished 1-room for rent in Thamel","Thamel Apartments By Casa Deyra, Kathmandu-17, Kathmandu","27.712970733642578","85.3064193725586"
